"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As an admin I have to be able to get detail user","SUCCESS","2022-03-23T20:56:50.049+07:00[Asia/Bangkok]","0.0","41.47"
"User","POST - As an admin I have to be able to create new user","SUCCESS","2022-03-23T20:57:31.562+07:00[Asia/Bangkok]","0.0","1.81"
